Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;;;;;;;;;;;
INS_Soort_inschrijving_continu_type_HO_binnen_HO;SoortInschrijvingContinuTypeHoBinnenHo;TRUE;;;;;;;;;;;;;;;;;
INS_Indicatie_eerstejaars_continu_HO;IndicatieEerstejaarsContinuHogerOnderwijs;TRUE;;;;;;;;;;;;;;;;;
INS_Indicatie_eerstejaars_continu_soort_HO;IndicatieEerstejaarsContinuSoortHo;TRUE;;;;;;;;;;;;;;;;;
INS_Indicatie_eerstejaars_continu_actuele_instelling;IndicatieEerstejaarsContinuActueleInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Indicatie_eerstejaars_continu_type_HO_binnen_HO;IndicatieEerstejaarsContinuTypeHoBinnenHo;TRUE;;;;;;;;;;;;;;;;;
OPL_Indicatie_soort_programma;IndicatieSoortProgramma;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer;Vestigingsnummer;TRUE;;;;;;;;;;;;;;;;;
INS_Datum_tekening_diploma;DatumTekeningDiploma;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer_Diploma;VestigingsnummerDiploma;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer_actueel;VestigingsnummerActueel;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer_actueel_diploma;VestigingsnummerActueelDiploma;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer_van_hoogste_vooropleiding_voor_HO;VestigingsnummerVanDeHoogsteVooroplVoorHetHo;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer_van_Hoogste_vooropleiding_binnen_HO;VestigingsnummerVanDeHoogsteVooroplBinnenHetHo;TRUE;;;;;;;;;;;;;;;;;
INS_Vestigingsnummer_van_Hoogste_vooropleiding;VestigingsnummerVanDeHoogsteVooropleiding;TRUE;;;;;;;;;;;;;;;;;
DEM_Nationaliteit_gebruikt_voor_bepaling_indicatie_EER_actueel;NationaliteitGebruiktVoorBepalingIndicatieEerActueel;TRUE;;;;;;;;;;;;;;;;;
DEM_Nationaliteit_gebruikt_voor_bepaling_indicatie_EER_peildatum;NationaliteitGebruiktVoorBepalingIndicatieEerPeildatum;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_actuele_opleiding;VerblijfsjaarActueleOpleiding;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_actuele_instelling;VerblijfsjaarActueleInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_actuele_opleiding_instelling;VerblijfsjaarActueleOpleidingInstelling;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_actuele_instelling_type_HO_binnen_soort_HO;VerblijfsjaarActueleInstellingTypeHogerOnderwijsBinnenSoortHogerOnderwijs;TRUE;;;;;;;;;;;;;;;;;
INS_Verblijfsjaar_continu_HO;VerblijfsjaarContinuHogerOnderwijs;TRUE;;;;;;;;;;;;;;;;;
