from;to
04748;Opleiding voor het praktijkdiploma kerkmuziek
04749;Vrije vormgeving (tweede fase-opleiding)
04750;Uitv. kunst./docent mime
04752;Propedeutisch jaar dans en theater
04754;Directie koor, orkest, of harmonie en fanfare
04756;Fotografische vormgeving (tweede fase-opleiding)
04758;Grafische vormgeving (tweede fase-opleiding)
04759;Vormgeving (tweede fase-opleiding)
04760;Interieurarchitectuur (tweede fase-opleiding)
04761;Aantekening begeleiden
04763;Aantekening kamermuziek
04764;Compositie of compositie/electronische muziek
04770;Uitvoerend musicus
04789;Opleiding voor het praktijkdiploma orkest- en ensembleleiding
04790;Praktijkdiploma
04793;Opleiding voor het praktijkdiploma koordirectie
04794;Opleiding voor het praktijkdiploma directie harmonie en fanfare
04795;Opleiding voor het praktijkdiploma beiaard
04797;Keramische vormgeving
04798;Uitvoerende beoefening van de dans
04799;Vooropleiding dans
04802;Uitv. kunst./docent dans
04804;Modevormgeving (tweede fase-opleiding)
04808;Opleiding tot leraar basisonderwijs
04810;Pedagogische academie
04819;Docerend musicus
04820;Docerend musicus
04841;Opleiding voor het getuigschrift muziekonderwijs A algemene muzikale vorming
04842;Ritmiek
04851;Opleiding tot leraar allochtone levende talen
04852;Voortgezette Kunstopleiding Muziek
04853;Autonome Beeldende Kunst (tweede fase-opleiding)
04854;Ped.-didact. aantekening
04855;Aantekening bijinstrument
04856;Voedingsmiddelentechnologie
04857;Akte muziekonderwijs
04858;Muziek ongedifferentieerd
04859;Plattelandsvernieuwing
04860;Theater
04861;Muziek
04862;Theorie der muziek
04863;Opleiding voor het getuigschrift muziekonderwijs B schoolmuziek
04864;L.O. lichamelijke oefeningen (akte j)
04865;Montessori
04866;Bedrijfskunde en Agribusiness
04867;Accountancy en Agribusiness
04868;Tuinbouw en Akkerbouw
04869;Dier- en Veehouderij
04870;Opleiding tot leraar basisonderwijs
04874;Theater (tweede fase-opleiding)
04878;Akte nht
04879;Opleiding tot leraar voortgezet onderwijs van de tweede graad (ten behoeve van het m.b.o.) in schilderen
04881;Opleiding tot leraar voortgezet onderwijs van de tweede graad (tbv mbo) in koken/serv
04882;Opleiding tot leraar voortgezet onderwijs van de tweede graad (ten behoeve van het m.b.o.) in brood/banketbakken
04883;Leraar nautisch onderwijs eerste graad in scheepswerktuigkunde
04885;Leraar nautisch onderwijs tweede graad in navigatie
04887;Leraar nautisch onderwijs eerste graad in zeemanschap
04888;Leraar nautisch onderwijs eerste graad in zeevaartkunde
04889;Leraar nautisch onderwijs tweede graad in scheepswerktuigkunde
04890;Leraar nautisch onderwijs tweede graad in scheepsbedrijfsvoering
04899;Educatie en Kennismanagement Groene Sector
04908;Opleiding tot leraar voortgezet onderwijs van de tweede graad in levensmiddelentechnologie
04909;Opleiding tot leraar voortgezet onderwijs van de tweede graad in dierenhouderij en verwerking I en II
04910;Opleiding tot leraar voortgezet onderwijs van de tweede graad in tuinbouw en plantenteelt en verwerking I en II
04915;Opleiding tot leraar voortgezet onderwijs van de tweede graad in plantenteelt en verwerking I en II
04916;Opleiding tot leraar voortgezet onderwijs van de tweede graad in veehoudery en verwerking I en II
04917;Opleiding tot leraar voortgezet onderwijs van de tweede graad in agrarische techniek I en II
04918;Opleiding tot leraar voortgezet onderwijs van de tweede graad in agrarische economie
04920;Opleiding Popmuzikant
04921;HBO Management Support
04922;HBO Logistiek en Facilitair Management
04923;Hotelmanagement
04924;Hotel- en Hospitality Management
04925;Facility Management
04926;Retail Management
04927;Reisbureau Management (4-jarig)
04928;Financieel Management
04929;Management Gezondheidszorg
04930;Psychologie
04933;Vakopleiding voor musici, dirigenten, uitvoerende musici en instrumentaal docenten muziek
04935;Hogere management opleiding voor de mobiliteitsbranche
04936;International Business and Management Studies
04940;Docent Dans
04941;Opleiding voor het docentschap mime
04942;Handvaardigheid a
04943;Opleiding voor het staatsdiploma handvaardigheid (handenarbeid) B
04944;Uitvoerend kunstonderwijs/docent drama
04950;Propedeuse docent beeldende kunst
04951;Kunst en Economie
04952;Media en Entertainment Management
04953;Orthopedische Technologie
04954;Applicatie volledig bevoegd voor het buitenland
04955;Gehrels (muziek)
04956;Opleiding tot verkeersvlieger
04957;Remedial teaching
04961;Opleiding voor het praktijkdiploma orgel
04965;Muziekdramatische opleiding
04966;Muziekregistratie
04967;Ad hoc studies
04970;L.O. duits (akte M)
04971;L.O. engels (akte N)
04972;L.O. frans (akte L)
04973;L.O. fries (akte W)
04974;L.O. handelskennis (akte P)
04975;L.O. handenarbeid (akte R)
04976;L.O. nuttig handwerken (akte K)
04978;L.O. lichamelijke oefeningen (akte J)
04979;L.O. spaans (akte X)
04980;L.O. tekenen (akte I)
04981;L.O. wiskunde (akte O)
04982;L.O. vrouwelijke handwerken (akte U)
04985;MO-A duits
04986;MO-A engels
04987;MO-A frans
04990;MO-A nederlands
04991;MO-A wiskunde
05000;MO-A tekenen
05001;MO-A nederlands
05002;MO-A frans
05003;MO-A duits
05004;MO-A engels
05005;MO-A fries
05006;MO-A wiskunde
05007;MO-A natuurkunde/scheikunde
05008;MO-A handvaardigheid
05009;MO-A pedagogiek
05012;MO-A godsdienst
05013;MO-B godsdienst
05014;MO-A verpleegkunde
05016;MO-A biologie
05018;MO-A natuurkunde
05019;MO-A scheikunde
05025;Opleiding tot leraar voortgezet onderwijs van de eerste graad in lichamelijke oefening
05030;MO-A boekhouden
05041;MO-B nederlands
05042;MO-B frans
05043;MO-B duits
05044;MO-B engels
05045;MO-B fries
05046;MO-B wiskunde
05047;MO-B natuurkunde
05048;MO-B scheikunde
05049;MO-B pedagogiek
05052;Tekenen akte LO
05053;1e ged aardrijkskunde
05054;2e ged aardrijkskunde
05055;3egr aardrijkskunde
05056;3egr arabisch
05057;3egr biologie
05059;L.O. duits
05060;3egr duits
05061;MO-A economische wetenschappen
05062;MO-B economische wetenschappen
05063;3egr economische wetenschappen
05064;L.O. engels
05065;3egr engels
05066;L.O. frans
05067;3egr frans
05069;3egr fries
05071;1e ged geschiedenis
05072;2e ged geschiedenis
05073;3egr geschiedenis
05074;L.O. handelskennis
05075;MO-B maatschappijleer
05076;3egr natuurkunde/scheikunde
05077;3egr natuurkunde
05078;3egr nederlands
05081;Opleiding tot leraar voortgezet onderwijs van de eerste graad in tekenen
05082;Opleiding tot leraar voortgezet onderwijs van de eerste graad in handvaardigheid
05083;Opleiding tot leraar voortgezet onderwijs van de eerste graad in textiele werkvormen
05084;Opleiding tot leraar voortgezet onderwijs van de eerste graad in tekenen
05085;Opleiding tot leraar voortgezet onderwijs van de eerste graad in handvaardigheid
05086;Opleiding tot leraar voortgezet onderwijs van de eerste graad in textiele werkvormen
05099;Opleiding tot leraar voortgezet onderwijs van de eerste graad in Biologie
05100;Nederlands 2egr 2vak
05101;Staatshuishoudkunde mo-b
05102;3egr scheikunde
05103;L.O. spaans
05104;3egr spaans
05105;3egr turks
05106;Opleiding tot leraar voortgezet onderwijs van de eerste graad in Wiskunde
05107;L.O. wiskunde
05108;3egr wiskunde
05109;Opleiding tot leraar voortgezet onderwijs van de eerste graad in aardrijkskunde
05110;Opleiding tot leraar voortgezet onderwijs van de eerste graad in Duits
05111;Opleiding tot leraar voortgezet onderwijs van de eerste graad in economische wetenschappen
05112;Opleiding tot leraar voortgezet onderwijs van de eerste graad in Engels
05113;Opleiding tot leraar voortgezet onderwijs van de eerste graad in Frans
05114;Opleiding tot leraar voortgezet onderwijs van de eerste graad in Fries
05115;Opleiding tot leraar voortgezet onderwijs van de eerste graad in godsdienst
05116;Opleiding tot leraar voortgezet onderwijs van de eerste graad in geschiedenis
05117;Opleiding tot leraar voortgezet onderwijs van de eerste graad in maatschappijleer
05118;Opleiding tot leraar voortgezet onderwijs van de eerste graad in Natuurkunde
05119;Opleiding tot leraar voortgezet onderwijs van de eerste graad in Nederlands
05120;Frans 2egr 2vak
05121;Pedagogiek 1egr
05122;Opleiding tot leraar voortgezet onderwijs van de eerste graad in Scheikunde
05123;1egr staatshuishoudkunde
05124;Opleiding tot leraar voortgezet onderwijs van de eerste graad in Spaans
05125;Opleiding tot leraar voortgezet onderwijs van de eerste graad in wiskunde
05126;Opleiding tot leraar voortgezet onderwijs van de tweede graad in aardrijkskunde
05127;3egr aardrijkskunde
05128;3egr arabisch
05129;Opleiding tot leraar voortgezet onderwijs van de tweede graad in biologie
05130;2egr boekhouden
05131;Opleiding handelseconomisch Duits
05132;L.O. duits
05133;Opleiding tot leraar voortgezet onderwijs van de tweede graad in Duits
05134;3egr duits
05135;Economische wetenschappen 2egr
05136;3egr economische wetenschapppen
05137;Opleiding tot leraar voortgezet onderwijs van de tweede graad in Engels
05138;3egr engels
05139;L.O. frans
05140;Duits 2egr 2vak
05141;Opleiding tot leraar voortgezet onderwijs van de tweede graad in Frans
05142;3egr frans
05143;Opleiding handelseconomisch Frans
05144;Opleiding tot leraar voortgezet onderwijs van de tweede graad in fries
05145;3egr fries
05146;Godsdienst-pastoraal werk
05147;3egr godsdienst
05148;Opleiding tot leraar voortgezet onderwijs van de tweede graad in geschiedenis
05149;3egr geschiedenis
05150;Opleiding tot leraar voortgezet onderwijs van de tweede graad in handvaardigheid
05151;L.O. handelskennis
05152;Opleiding tot leraar voortgezet onderwijs van de tweede graad in natuurkunde-scheikunde
05153;3egr natuurkunde-scheikunde
05154;Opleiding tot leraar voortgezet onderwijs van de tweede graad in natuurkunde
05155;3egr natuurkunde
